model_name,sheet_number,sheet_name,current_revision,revision_date,revision_description,regulated_required,regulated_rev,regulated_date,regulated_description,regulated_dp_name,regulated_dp_reg_no
AA_Hinkler_Av,A16015,RCP - BASEMENT 02 SHEET 02,A,10.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A16016,RCP - BASEMENT 02 SHEET 03,A,23.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A13019,CONC SETOUT PLAN - BASEMENT 01 SHEET 03,5,16.03.26,CONSTRUCTION-ISSUED REGULATED DESIGN (VARIATION),,,,,,
AA_Hinkler_Av,A13014,CONC SETOUT PLAN - BASEMENT 02 SHEET 01,B,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A13022,CONC SETOUT PLAN - GROUND SHEET 03,4,12.02.26,CONSTRUCTION-ISSUED REGULATED DESIGN (VARIATION),,,,,,
AA_Hinkler_Av,A02033,SHORING PLAN SHEET 03,2,23.10.25,CONSTRUCTION-ISSUED REGULATED DESIGN (CC1 VARIATION),,,,,,
AA_Hinkler_Av,A09011,OVERALL GA PLAN - BASEMENT 03,C,06.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A17020,INSULATION - GROUND SHEET 01,,,,,,,,,
AA_Hinkler_Av,A17021,INSULATION - GROUND SHEET 02,,,,,,,,,
AA_Hinkler_Av,A17022,INSULATION - GROUND SHEET 03,,,,,,,,,
AA_Hinkler_Av,A75001,WET AREA DETAILS,,,,,,,,,
AA_Hinkler_Av,A75002,EXTENT OF WATERPROOFING,,,,,,,,,
AA_Hinkler_Av,A40001,INTERFACE DETAILS SHEET 01,A,17.06.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A56001,RAMP ENTRY - BUILDING A&B,B,06.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A40002,INTERFACE DETAILS SHEET 02,A,17.06.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A40003,INTERFACE DETAILS SHEET 03,A,17.06.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A40004,INTERFACE DETAILS SHEET 04,A,17.06.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A40005,INTERFACE DETAILS SHEET 05,A,17.06.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A11012,WALL SETOUT PLAN - BASEMENT 03 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A11011,WALL SETOUT PLAN - BASEMENT 03 SHEET 01,,,,,,,,,
AA_Hinkler_Av,A11010,WALL SETOUT PLAN - BASEMENT 04 SHEET 03,,,,,,,,,
AA_Hinkler_Av,A11009,WALL SETOUT PLAN - BASEMENT 04 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A11008,WALL SETOUT PLAN - BASEMENT 04 SHEET 01,,,,,,,,,
AA_Hinkler_Av,A10014,GA PLAN - BASEMENT 02 SHEET 01,F,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10015,GA PLAN - BASEMENT 02 SHEET 02,F,11.05.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A10016,GA PLAN - BASEMENT 02 SHEET 03,I,10.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A11013,WALL SETOUT PLAN - BASEMENT 03 SHEET 03,,,,,,,,,
AA_Hinkler_Av,A13011,CONC SETOUT PLAN - BASEMENT 03 SHEET 01,3,11.05.26,FOR COORDINATION,,,,,,
AA_Hinkler_Av,A13012,CONC SETOUT PLAN - BASEMENT 03 SHEET 02,2,11.05.26,FOR COORDINATION,,,,,,
AA_Hinkler_Av,A16011,RCP - BASEMENT 03 SHEET 01,A,10.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A16012,RCP - BASEMENT 03 SHEET 02,A,10.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A02023,DETAILED EXCAVATION SHEET 03,3,11.02.26,CONSTRUCTION-ISSUED REGULATED DESIGN (VARIATION),,,,,,
AA_Hinkler_Av,A40006,INTERFACE DETAILS SHEET 06,A,17.06.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A40007,INTERFACE DETAILS SHEET 07,1,28.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2A),,,,,,
AA_Hinkler_Av,A40008,INTERFACE DETAILS SHEET 08,1,28.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2A),,,,,,
AA_Hinkler_Av,A40009,INTERFACE DETAILS SHEET 09,1,28.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2A),,,,,,
AA_Hinkler_Av,A65001,LINE OF HEIGHTS,,,,,,,,,
AA_Hinkler_Av,A70006,KITCHEN L-SHAPE TYPE 3B,B,16.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A15011,FRL PLAN - BASEMENT 03 SHEET 01,1,16.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC3),,,,,,
AA_Hinkler_Av,A15012,FRL PLAN - BASEMENT 03 SHEET 02,1,16.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC3),,,,,,
AA_Hinkler_Av,A15015,FRL PLAN - BASEMENT 02 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A15016,FRL PLAN - BASEMENT 02 SHEET 03,2,29.01.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2),,,,,,
AA_Hinkler_Av,A15018,FRL PLAN - BASEMENT 01 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A15019,FRL PLAN - BASEMENT 01 SHEET 03,2,29.01.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2),,,,,,
AA_Hinkler_Av,A17015,INSULATION - BASEMENT 02 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A17016,INSULATION - BASEMENT 02 SHEET 03,,,,,,,,,
AA_Hinkler_Av,A17017,INSULATION - BASEMENT 01 SHEET 01,,,,,,,,,
AA_Hinkler_Av,A17018,INSULATION - BASEMENT 01 SHEET 02,,,,,,,,,
AA_Hinkler_Av,A17019,INSULATION - BASEMENT 01 SHEET 03,,,,,,,,,
AA_Hinkler_Av,A90002,STATUTORY SIGNAGE SHEET 02,B,10.04.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A56002,RAMP CIRCULATION - BUILDING A&B,A,06.03.26,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A56003,RAMP ENTRY - BUILDING C,1,28.04.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2A),,,,,,
AA_Hinkler_Av,A56004,RAMP CIRCULATION - BUILDING C,2,29.01.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2),,,,,,
AA_Hinkler_Av,A30103,SECTIONS - A SHEET 03,,,,,,,,,
AA_Hinkler_Av,A30101,SECTIONS - A SHEET 01,,,,,,,,,
AA_Hinkler_Av,A57001,SUBSTATION KIOSK,A,10.11.25,FOR INFORMATION,,,,,,
AA_Hinkler_Av,A40021,INGROUND DETAILS SHEET 01,3,29.01.26,CONSTRUCTION-ISSUED REGULATED DESIGN (CC2),,,,,,
AA_Hinkler_Av,A40022,INGROUND DETAILS SHEET 02,4,11.02.26,CONSTRUCTION-ISSUED REGULATED DESIGN (VARIATION),,,,,,
